school_code,school_name,school_type,state,district,postcode,active
AEA0033,SEKOLAH MENENGAH KEBANGSAAN HAMID KHAN,SMK,PERAK,BATANG PADANG,35000,true
AEA0035,SEKOLAH MENENGAH KEBANGSAAN TROLAK SELATAN,SMK,PERAK,BATANG PADANG,35600,true
AEA0037,SEKOLAH MENENGAH KEBANGSAAN (FELDA) BESOUT,SMK,PERAK,BATANG PADANG,35600,true
AEA0038,SEKOLAH MENENGAH KEBANGSAAN SUNGAI KERUIT,SMK,PERAK,BATANG PADANG,35600,true
AEA0039,SEKOLAH MENENGAH KEBANGSAAN AIR KUNING,SMK,PERAK,BATANG PADANG,31920,true
AEA0040,SEKOLAH MENENGAH KEBANGSAAN CHENDERIANG,SMK,PERAK,BATANG PADANG,35350,true
AEA0041,KOLEJ TINGKATAN ENAM TAPAH,KT6,PERAK,BATANG PADANG,35000,true
AEA0042,SEKOLAH MENENGAH KEBANGSAAN BIDOR,SMK,PERAK,BATANG PADANG,35500,true
AEA0043,SEKOLAH MENENGAH SAINS TAPAH,SBP,PERAK,BATANG PADANG,35000,true
AEA1109,SEKOLAH MENENGAH KEBANGSAAN SERI MANJUNG,SMK,PERAK,MANJUNG,32040,true
AEA1110,SEKOLAH MENENGAH KEBANGSAAN AHMAD BOESTAMAM,SMK,PERAK,MANJUNG,32000,true
AEA1111,SEKOLAH MENENGAH KEBANGSAAN PANGKALAN TLDM,SMK,PERAK,MANJUNG,32100,true
AEA1112,SEKOLAH MENENGAH KEBANGSAAN BATU SEPULUH,SMK,PERAK,MANJUNG,32020,true
AEA1113,SEKOLAH MENENGAH KEBANGSAAN PANTAI REMIS,SMK,PERAK,MANJUNG,34900,true
AEA1114,SEKOLAH MENENGAH KEBANGSAAN SERI SAMUDERA,SMK,PERAK,MANJUNG,32040,true
AEA1115,SEKOLAH MENENGAH KEBANGSAAN CHANGKAT BERUAS,SMK,PERAK,MANJUNG,32700,true
AEA1116,SEKOLAH MENENGAH KEBANGSAAN KG. DATO' SERI KAMARUDDIN,SMK,PERAK,MANJUNG,32040,true
AEA2041,SEKOLAH MENENGAH KEBANGSAAN RAJA CHULAN,SMK,PERAK,KINTA UTARA,31400,true
AEA2043,SEKOLAH MENENGAH KEBANGSAAN JALAN PASIR PUTEH,SMK,PERAK,KINTA UTARA,31650,true
AEA2044,SEKOLAH MENENGAH KEBANGSAAN GUNUNG RAPAT,SMK,PERAK,KINTA UTARA,31350,true
AEA2045,SEKOLAH MENENGAH KEBANGSAAN RAJA PERMAISURI BAINUN,SMK,PERAK,KINTA UTARA,30020,true
AEA2046,SEKOLAH MENENGAH KEBANGSAAN DATO' HJ. MOHD TAIB,SMK,PERAK,KINTA UTARA,31200,true
AEA2047,SEKOLAH MENENGAH KEBANGSAAN SERI KELEDANG,SMK,PERAK,KINTA UTARA,31450,true
AEA2048,SEKOLAH MENENGAH KEBANGSAAN KG. DATO' AHMAD SAID,SMK,PERAK,KINTA UTARA,30020,true
AEA2049,SEKOLAH MENENGAH KEBANGSAAN KG PASIR PUTEH,SMK,PERAK,KINTA UTARA,31650,true
AEA2050,SEKOLAH MENENGAH KEBANGSAAN SERI AMPANG,SMK,PERAK,KINTA UTARA,31350,true
AEA2051,SEKOLAH MENENGAH KEBANGSAAN JALAN TASEK,SMK,PERAK,KINTA UTARA,31400,true
AEA2052,SEKOLAH MENENGAH KEBANGSAAN SIMPANG PULAI,SMK,PERAK,KINTA UTARA,31300,true
AEA2053,SEKOLAH MENENGAH KEBANGSAAN LAHAT,SMK,PERAK,KINTA UTARA,31500,true
AEA2054,SEKOLAH MENENGAH KEBANGSAAN TASEK DAMAI,SMK,PERAK,KINTA UTARA,30010,true
AEA2055,SEKOLAH MENENGAH KEBANGSAAN TANJONG RAMBUTAN,SMK,PERAK,KINTA UTARA,31250,true
AEA2056,SEKOLAH MENENGAH KEBANGSAAN JELAPANG JAYA,SMK,PERAK,KINTA UTARA,30020,true
AEA2057,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN,SMK,PERAK,KINTA UTARA,31500,true
AEA2058,SEKOLAH MENENGAH KEBANGSAAN BERCHAM,SMK,PERAK,KINTA UTARA,31400,true
AEA2059,SEKOLAH MENENGAH KEBANGSAAN PUSING,SMK,PERAK,KINTA UTARA,31000,true
AEA2060,SEKOLAH MENENGAH KEBANGSAAN BUNTONG,SMK,PERAK,KINTA UTARA,30100,true
AEA2061,SEKOLAH MENENGAH KEBANGSAAN WIRA JAYA,SMK,PERAK,KINTA UTARA,31350,true
